Mã CK,Giá,+/-,Khối lượng,Tham chiếu,Cao nhất,Thấp nhất
flc,3.5,0.27421052631578946,9480810.52631579,3.5,17.2221052631579,16.779999999999998
vpb,21.4,0.45,13601600.0,20.95,21.4,20.75
pow,11.2,0.0,9548100.0,11.2,11.2,11.0
tcb,32.1,0.05,2793700.0,32.05,32.15,31.9
bsr,20.6,1.0,10607300.0,19.6,20.8,20.3
hpg,25.5,0.55,11432000.0,24.95,25.6,24.95
shb,10.75,0.05,8030100.0,10.7,10.8,10.65
stb,31.2,0.25,9199800.0,30.95,31.3,30.6
hqc,3.6,0.01,2928100.0,3.59,3.63,3.56
lpb,14.1,0.35,2952100.0,13.75,14.1,13.75
mbb,18.3,0.15,11157200.0,18.15,18.3,18.0
msb,13.9,0.05,2941100.0,13.85,13.9,13.75
gex,20.45,0.1,12226300.0,20.35,20.65,20.05
hag,8.45,0.25,11439500.0,8.2,8.5,8.09
nvl,14.35,0.45,14251500.0,13.9,14.45,13.9
ssi,33.2,0.25,21954400.0,32.95,33.5,32.4
vnd,21.6,0.7,22737700.0,20.9,21.85,20.8
ita,5.73,0.05,1734400.0,5.68,5.75,5.65
tch,12.2,0.35,9013200.0,11.85,12.35,11.9
scr,6.98,0.15,1587300.0,6.83,6.99,6.82
